Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Wood, S.A., Winder, S.G., Lia, E.H., White, E.M., Crowley, C.S.L., Milnor, A.A.","15137355000;57219108272;57202431436;8903988900;57219115867;57219116272;","Next-generation visitation models using social media to estimate recreation on public lands",2020,"Scientific Reports","10","1", 15419,"","",,2,"10.1038/s41598-020-70829-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091320604&doi=10.1038%2fs41598-020-70829-x&partnerID=40&md5=dbdedb9158ba6a50dffd47e8d54dbc91",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85091320604
"Ghermandi, A., Sinclair, M., Fichtman, E., Gish, M.","12141109100;57203029074;56897186200;13009119700;","Novel insights on intensity and typology of direct human-nature interactions in protected areas through passive crowdsourcing",2020,"Global Environmental Change","65",, 102189,"","",,,"10.1016/j.gloenvcha.2020.102189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094133213&doi=10.1016%2fj.gloenvcha.2020.102189&partnerID=40&md5=f4daacbea1daa7ec45c0c919e209768b",Article,"Final","",Scopus,2-s2.0-85094133213
"Hamstead, Z.A., Fisher, D., Ilieva, R.T., Wood, S.A., McPhearson, T., Kremer, P.","55905030200;57191593157;55320576300;15137355000;6504258439;55796631300;","Geolocated social media as a rapid indicator of park visitation and equitable park access",2018,"Computers, Environment and Urban Systems","72",,,"38","50",,60,"10.1016/j.compenvurbsys.2018.01.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041586294&doi=10.1016%2fj.compenvurbsys.2018.01.007&partnerID=40&md5=e0ea3b77a4cc6da9a7156aa7a1aa885d",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85041586294
"Martinez-Harms, M.J., Bryan, B.A., Wood, S.A., Fisher, D.M., Law, E., Rhodes, J.R., Dobbs, C., Biggs, D., Wilson, K.A.","25628111100;7005323700;15137355000;57191593157;36675163900;57211633993;36657054300;37118524700;8046846900;","Inequality in access to cultural ecosystem services from protected areas in the Chilean biodiversity hotspot",2018,"Science of the Total Environment","636",,,"1128","1138",,16,"10.1016/j.scitotenv.2018.04.353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046831063&doi=10.1016%2fj.scitotenv.2018.04.353&partnerID=40&md5=9fa5f98e13774e63ee767e22f25cf568",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85046831063
"Fisher, D.M., Wood, S.A., White, E.M., Blahna, D.J., Lange, S., Weinberg, A., Tomco, M., Lia, E.","57191593157;15137355000;8903988900;6603181201;57202434215;57202434703;57202435873;57202431436;","Recreational use in dispersed public lands measured using social media data and on-site counts",2018,"Journal of Environmental Management","222",,,"465","474",,21,"10.1016/j.jenvman.2018.05.045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048336550&doi=10.1016%2fj.jenvman.2018.05.045&partnerID=40&md5=e536a5a5fb1ce8cc38b23645b9b142d9",Article,"Final","",Scopus,2-s2.0-85048336550
"Tenkanen, H., Di Minin, E., Heikinheimo, V., Hausmann, A., Herbst, M., Kajala, L., Toivonen, T.","56523034300;25929833700;56668748800;56735962800;7102967077;57199654398;7003603971;","Instagram, Flickr, or Twitter: Assessing the usability of social media data for visitor monitoring in protected areas",2017,"Scientific Reports","7","1", 17615,"","",,101,"10.1038/s41598-017-18007-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038249972&doi=10.1038%2fs41598-017-18007-4&partnerID=40&md5=18c67bd0c01feb9d4bfa7c4ddee9f02c",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85038249972
"Wood, S.A., Guerry, A.D., Silver, J.M., Lacayo, M.","15137355000;6602320378;55920124300;36610450600;","Using social media to quantify nature-based tourism and recreation",2013,"Scientific Reports","3",, 2976,"","",,302,"10.1038/srep02976","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889610092&doi=10.1038%2fsrep02976&partnerID=40&md5=77d3916b9fad06298404f838f4253f89",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84889610092
