"license","id","owner","secret","server","farm","title","ispublic","isfriend","isfamily","dateupload","lastupdate","datetaken","datetakengranularity","datetakenunknown","count_views","count_faves","count_comments","accuracy","context","place_id","woeid","geo_is_public","geo_is_contact","geo_is_friend","geo_is_family","url_sq","height_sq","width_sq","url_t","height_t","width_t","url_s","height_s","width_s","url_q","height_q","width_q","url_m","height_m","width_m","url_n","height_n","width_n","url_z","height_z","width_z","url_c","height_c","width_c","url_l","height_l","width_l","url_o","height_o","width_o","longitude","latitude","geometry","within","license_name","license_url"
0,49654919416,"100954775@N03","7747cae1ca",65535,66,"Ferry boat, Bahir Dar, Ethiopia",NA,NA,NA,2020-03-13 13:27:10,2020-03-13 13:34:45,2020-02-14 14:30:20,0,0,164,0,0,16,0,"",342884,NA,NA,NA,NA,"https://live.staticflickr.com/65535/49654919416_7747cae1ca_s.jpg",75,75,"https://live.staticflickr.com/65535/49654919416_7747cae1ca_t.jpg",75,100,"https://live.staticflickr.com/65535/49654919416_7747cae1ca_m.jpg",180,240,"https://live.staticflickr.com/65535/49654919416_7747cae1ca_q.jpg",150,150,"https://live.staticflickr.com/65535/49654919416_7747cae1ca.jpg",375,500,"https://live.staticflickr.com/65535/49654919416_7747cae1ca_n.jpg",240,320,"https://live.staticflickr.com/65535/49654919416_7747cae1ca_z.jpg",480,640,"https://live.staticflickr.com/65535/49654919416_7747cae1ca_c.jpg",600,800,"https://live.staticflickr.com/65535/49654919416_7747cae1ca_b.jpg",768,1024,"https://live.staticflickr.com/65535/49654919416_6f0d19dfe9_o.jpg",2304,3072,37.387912,11.597287,"c(37.387912, 11.597287)","1","All Rights Reserved","NA"
0,49655197407,"100954775@N03","80ddcdc4bc",65535,66,"Lake Tana, Bahir Dar, Ethiopia",NA,NA,NA,2020-03-13 13:27:12,2020-03-13 13:35:23,2020-02-14 14:30:16,0,0,163,0,0,16,0,"",342884,NA,NA,NA,NA,"https://live.staticflickr.com/65535/49655197407_80ddcdc4bc_s.jpg",75,75,"https://live.staticflickr.com/65535/49655197407_80ddcdc4bc_t.jpg",75,100,"https://live.staticflickr.com/65535/49655197407_80ddcdc4bc_m.jpg",180,240,"https://live.staticflickr.com/65535/49655197407_80ddcdc4bc_q.jpg",150,150,"https://live.staticflickr.com/65535/49655197407_80ddcdc4bc.jpg",375,500,"https://live.staticflickr.com/65535/49655197407_80ddcdc4bc_n.jpg",240,320,"https://live.staticflickr.com/65535/49655197407_80ddcdc4bc_z.jpg",480,640,"https://live.staticflickr.com/65535/49655197407_80ddcdc4bc_c.jpg",600,800,"https://live.staticflickr.com/65535/49655197407_80ddcdc4bc_b.jpg",768,1024,"https://live.staticflickr.com/65535/49655197407_7559a8abf4_o.jpg",2304,3072,37.389113,11.597465,"c(37.389113, 11.597465)","1","All Rights Reserved","NA"
0,49654379733,"100954775@N03","037df0b019",65535,66,"Lake Tana, Bahir Dar, Ethiopia",NA,NA,NA,2020-03-13 13:27:10,2020-03-13 13:34:39,2020-02-14 14:30:09,0,0,158,0,0,16,0,"",342884,NA,NA,NA,NA,"https://live.staticflickr.com/65535/49654379733_037df0b019_s.jpg",75,75,"https://live.staticflickr.com/65535/49654379733_037df0b019_t.jpg",75,100,"https://live.staticflickr.com/65535/49654379733_037df0b019_m.jpg",180,240,"https://live.staticflickr.com/65535/49654379733_037df0b019_q.jpg",150,150,"https://live.staticflickr.com/65535/49654379733_037df0b019.jpg",375,500,"https://live.staticflickr.com/65535/49654379733_037df0b019_n.jpg",240,320,"https://live.staticflickr.com/65535/49654379733_037df0b019_z.jpg",480,640,"https://live.staticflickr.com/65535/49654379733_037df0b019_c.jpg",600,800,"https://live.staticflickr.com/65535/49654379733_037df0b019_b.jpg",768,1024,"https://live.staticflickr.com/65535/49654379733_7236f09979_o.jpg",2304,3072,37.388373,11.596435,"c(37.388373, 11.596435)","1","All Rights Reserved","NA"
0,49655197272,"100954775@N03","d96f911f28",65535,66,"Bahir Dar, Ethiopia",NA,NA,NA,2020-03-13 13:27:07,2020-03-13 13:33:38,2020-02-14 15:24:03,0,0,179,0,0,16,0,"",342884,NA,NA,NA,NA,"https://live.staticflickr.com/65535/49655197272_d96f911f28_s.jpg",75,75,"https://live.staticflickr.com/65535/49655197272_d96f911f28_t.jpg",75,100,"https://live.staticflickr.com/65535/49655197272_d96f911f28_m.jpg",180,240,"https://live.staticflickr.com/65535/49655197272_d96f911f28_q.jpg",150,150,"https://live.staticflickr.com/65535/49655197272_d96f911f28.jpg",375,500,"https://live.staticflickr.com/65535/49655197272_d96f911f28_n.jpg",240,320,"https://live.staticflickr.com/65535/49655197272_d96f911f28_z.jpg",480,640,"https://live.staticflickr.com/65535/49655197272_d96f911f28_c.jpg",600,800,"https://live.staticflickr.com/65535/49655197272_d96f911f28_b.jpg",768,1024,"https://live.staticflickr.com/65535/49655197272_569610b3d0_o.jpg",2304,3072,37.387397,11.593167,"c(37.387397, 11.593167)","1","All Rights Reserved","NA"
0,49654379538,"100954775@N03","2af6fa9568",65535,66,"Bahir Dar, Ethiopia",NA,NA,NA,2020-03-13 13:27:09,2020-03-13 13:34:22,2020-02-14 15:24:17,0,0,157,1,0,16,0,"",342884,NA,NA,NA,NA,"https://live.staticflickr.com/65535/49654379538_2af6fa9568_s.jpg",75,75,"https://live.staticflickr.com/65535/49654379538_2af6fa9568_t.jpg",75,100,"https://live.staticflickr.com/65535/49654379538_2af6fa9568_m.jpg",180,240,"https://live.staticflickr.com/65535/49654379538_2af6fa9568_q.jpg",150,150,"https://live.staticflickr.com/65535/49654379538_2af6fa9568.jpg",375,500,"https://live.staticflickr.com/65535/49654379538_2af6fa9568_n.jpg",240,320,"https://live.staticflickr.com/65535/49654379538_2af6fa9568_z.jpg",480,640,"https://live.staticflickr.com/65535/49654379538_2af6fa9568_c.jpg",600,800,"https://live.staticflickr.com/65535/49654379538_2af6fa9568_b.jpg",768,1024,"https://live.staticflickr.com/65535/49654379538_dc2ba22939_o.jpg",2304,3072,37.388019,11.593209,"c(37.388019, 11.593209)","1","All Rights Reserved","NA"
0,49586278043,"100954775@N03","676538b3b6",65535,66,"Beijing BJ2020",NA,NA,NA,2020-02-26 07:39:30,2020-03-17 16:10:51,2020-02-15 12:49:22,0,0,371,5,0,16,0,"",342884,NA,NA,NA,NA,"https://live.staticflickr.com/65535/49586278043_676538b3b6_s.jpg",75,75,"https://live.staticflickr.com/65535/49586278043_676538b3b6_t.jpg",75,100,"https://live.staticflickr.com/65535/49586278043_676538b3b6_m.jpg",180,240,"https://live.staticflickr.com/65535/49586278043_676538b3b6_q.jpg",150,150,"https://live.staticflickr.com/65535/49586278043_676538b3b6.jpg",375,500,"https://live.staticflickr.com/65535/49586278043_676538b3b6_n.jpg",240,320,"https://live.staticflickr.com/65535/49586278043_676538b3b6_z.jpg",480,640,"https://live.staticflickr.com/65535/49586278043_676538b3b6_c.jpg",600,800,"https://live.staticflickr.com/65535/49586278043_676538b3b6_b.jpg",768,1024,"https://live.staticflickr.com/65535/49586278043_43f6081018_o.jpg",2108,2811,37.3873,11.593818,"c(37.3873, 11.593818)","1","All Rights Reserved","NA"
0,49655197062,"100954775@N03","40169e3746",65535,66,"Central Mosque, Bahir Dar, Ethiopia",NA,NA,NA,2020-03-13 13:27:14,2020-06-15 14:50:21,2020-02-15 12:44:49,0,0,200,2,0,16,0,"",342884,NA,NA,NA,NA,"https://live.staticflickr.com/65535/49655197062_40169e3746_s.jpg",75,75,"https://live.staticflickr.com/65535/49655197062_40169e3746_t.jpg",100,75,"https://live.staticflickr.com/65535/49655197062_40169e3746_m.jpg",240,180,"https://live.staticflickr.com/65535/49655197062_40169e3746_q.jpg",150,150,"https://live.staticflickr.com/65535/49655197062_40169e3746.jpg",500,375,"https://live.staticflickr.com/65535/49655197062_40169e3746_n.jpg",320,240,"https://live.staticflickr.com/65535/49655197062_40169e3746_z.jpg",640,480,"https://live.staticflickr.com/65535/49655197062_40169e3746_c.jpg",800,600,"https://live.staticflickr.com/65535/49655197062_40169e3746_b.jpg",1024,768,"https://live.staticflickr.com/65535/49655197062_12df5bb4e1_o.jpg",3072,2304,37.384918,11.593587,"c(37.384918, 11.593587)","1","All Rights Reserved","NA"
0,49613004361,"100954775@N03","de17685ecc",65535,66,"Ethiopian front plate, Bahir Dar, Ethiopia",NA,NA,NA,2020-03-03 09:57:57,2020-03-03 11:12:10,2020-02-15 12:49:48,0,0,153,1,0,16,0,"",342884,NA,NA,NA,NA,"https://live.staticflickr.com/65535/49613004361_de17685ecc_s.jpg",75,75,"https://live.staticflickr.com/65535/49613004361_de17685ecc_t.jpg",75,100,"https://live.staticflickr.com/65535/49613004361_de17685ecc_m.jpg",180,240,"https://live.staticflickr.com/65535/49613004361_de17685ecc_q.jpg",150,150,"https://live.staticflickr.com/65535/49613004361_de17685ecc.jpg",375,500,"https://live.staticflickr.com/65535/49613004361_de17685ecc_n.jpg",240,320,"https://live.staticflickr.com/65535/49613004361_de17685ecc_z.jpg",480,640,"https://live.staticflickr.com/65535/49613004361_de17685ecc_c.jpg",600,800,"https://live.staticflickr.com/65535/49613004361_de17685ecc_b.jpg",768,1024,"https://live.staticflickr.com/65535/49613004361_d5d5e43ec7_o.jpg",2002,2669,37.387171,11.593923,"c(37.387171, 11.593923)","1","All Rights Reserved","NA"
0,49655197192,"100954775@N03","0f145c2cfb",65535,66,"Central Mosque, Bahir Dar, Ethiopia",NA,NA,NA,2020-03-13 13:27:15,2020-03-13 13:52:35,2020-02-15 12:44:36,0,0,204,1,0,16,0,"",342884,NA,NA,NA,NA,"https://live.staticflickr.com/65535/49655197192_0f145c2cfb_s.jpg",75,75,"https://live.staticflickr.com/65535/49655197192_0f145c2cfb_t.jpg",75,100,"https://live.staticflickr.com/65535/49655197192_0f145c2cfb_m.jpg",180,240,"https://live.staticflickr.com/65535/49655197192_0f145c2cfb_q.jpg",150,150,"https://live.staticflickr.com/65535/49655197192_0f145c2cfb.jpg",375,500,"https://live.staticflickr.com/65535/49655197192_0f145c2cfb_n.jpg",240,320,"https://live.staticflickr.com/65535/49655197192_0f145c2cfb_z.jpg",480,640,"https://live.staticflickr.com/65535/49655197192_0f145c2cfb_c.jpg",600,800,"https://live.staticflickr.com/65535/49655197192_0f145c2cfb_b.jpg",768,1024,"https://live.staticflickr.com/65535/49655197192_78bb95f2e1_o.jpg",2304,3072,37.384929,11.593598,"c(37.384929, 11.593598)","1","All Rights Reserved","NA"
0,49654919066,"100954775@N03","297b36780a",65535,66,"Central Mosque, Bahir Dar, Ethiopia",NA,NA,NA,2020-03-13 13:27:15,2020-07-02 20:40:41,2020-02-15 12:44:57,0,0,223,1,0,16,0,"",342884,NA,NA,NA,NA,"https://live.staticflickr.com/65535/49654919066_297b36780a_s.jpg",75,75,"https://live.staticflickr.com/65535/49654919066_297b36780a_t.jpg",75,100,"https://live.staticflickr.com/65535/49654919066_297b36780a_m.jpg",180,240,"https://live.staticflickr.com/65535/49654919066_297b36780a_q.jpg",150,150,"https://live.staticflickr.com/65535/49654919066_297b36780a.jpg",375,500,"https://live.staticflickr.com/65535/49654919066_297b36780a_n.jpg",240,320,"https://live.staticflickr.com/65535/49654919066_297b36780a_z.jpg",480,640,"https://live.staticflickr.com/65535/49654919066_297b36780a_c.jpg",600,800,"https://live.staticflickr.com/65535/49654919066_297b36780a_b.jpg",768,1024,"https://live.staticflickr.com/65535/49654919066_067d540c10_o.jpg",2304,3072,37.384961,11.593598,"c(37.384961, 11.593598)","1","All Rights Reserved","NA"
