"license","id","owner","secret","server","farm","title","ispublic","isfriend","isfamily","dateupload","lastupdate","datetaken","datetakengranularity","datetakenunknown","count_views","count_faves","count_comments","accuracy","context","place_id","woeid","geo_is_public","geo_is_contact","geo_is_friend","geo_is_family","url_sq","height_sq","width_sq","url_t","height_t","width_t","url_s","height_s","width_s","url_q","height_q","width_q","url_m","height_m","width_m","url_n","height_n","width_n","url_z","height_z","width_z","url_c","height_c","width_c","url_l","height_l","width_l","url_o","height_o","width_o","longitude","latitude","geometry","within","license_name","license_url"
0,38992177265,"17367318@N00","3b96c16fb0",4762,5,"IMG_2993_DxO",NA,NA,NA,2018-01-25 13:49:49,2018-01-29 15:55:28,2018-01-08 14:39:36,0,0,78,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/4762/38992177265_3b96c16fb0_s.jpg",75,75,"https://live.staticflickr.com/4762/38992177265_3b96c16fb0_t.jpg",75,100,"https://live.staticflickr.com/4762/38992177265_3b96c16fb0_m.jpg",180,240,"https://live.staticflickr.com/4762/38992177265_3b96c16fb0_q.jpg",150,150,"https://live.staticflickr.com/4762/38992177265_3b96c16fb0.jpg",375,500,"https://live.staticflickr.com/4762/38992177265_3b96c16fb0_n.jpg",240,320,"https://live.staticflickr.com/4762/38992177265_3b96c16fb0_z.jpg",480,640,"https://live.staticflickr.com/4762/38992177265_3b96c16fb0_c.jpg",600,800,"https://live.staticflickr.com/4762/38992177265_3b96c16fb0_b.jpg",768,1024,"https://live.staticflickr.com/4762/38992177265_5d3dbcd21e_o.jpg",2448,3264,37.386519,11.588902,"c(37.386519, 11.588902)","1","All Rights Reserved","NA"
0,38992176615,"17367318@N00","2a5abe4f98",4613,5,"IMG_3001_DxO",NA,NA,NA,2018-01-25 13:49:50,2018-01-29 15:55:27,2018-01-09 07:45:51,0,0,61,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/4613/38992176615_2a5abe4f98_s.jpg",75,75,"https://live.staticflickr.com/4613/38992176615_2a5abe4f98_t.jpg",75,100,"https://live.staticflickr.com/4613/38992176615_2a5abe4f98_m.jpg",180,240,"https://live.staticflickr.com/4613/38992176615_2a5abe4f98_q.jpg",150,150,"https://live.staticflickr.com/4613/38992176615_2a5abe4f98.jpg",375,500,"https://live.staticflickr.com/4613/38992176615_2a5abe4f98_n.jpg",240,320,"https://live.staticflickr.com/4613/38992176615_2a5abe4f98_z.jpg",480,640,"https://live.staticflickr.com/4613/38992176615_2a5abe4f98_c.jpg",600,800,"https://live.staticflickr.com/4613/38992176615_2a5abe4f98_b.jpg",768,1024,"https://live.staticflickr.com/4613/38992176615_7dd8f1d09d_o.jpg",2448,3264,37.384338,11.59858,"c(37.384338, 11.59858)","1","All Rights Reserved","NA"
0,38992176175,"17367318@N00","55f6f887d8",4676,5,"IMG_3009_DxO",NA,NA,NA,2018-01-25 13:49:51,2018-01-29 15:55:26,2018-01-09 08:21:53,0,0,174,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/4676/38992176175_55f6f887d8_s.jpg",75,75,"https://live.staticflickr.com/4676/38992176175_55f6f887d8_t.jpg",75,100,"https://live.staticflickr.com/4676/38992176175_55f6f887d8_m.jpg",180,240,"https://live.staticflickr.com/4676/38992176175_55f6f887d8_q.jpg",150,150,"https://live.staticflickr.com/4676/38992176175_55f6f887d8.jpg",375,500,"https://live.staticflickr.com/4676/38992176175_55f6f887d8_n.jpg",240,320,"https://live.staticflickr.com/4676/38992176175_55f6f887d8_z.jpg",480,640,"https://live.staticflickr.com/4676/38992176175_55f6f887d8_c.jpg",600,800,"https://live.staticflickr.com/4676/38992176175_55f6f887d8_b.jpg",768,1024,"https://live.staticflickr.com/4676/38992176175_e1ed7452e8_o.jpg",2448,3264,37.382777,11.602872,"c(37.382777, 11.602872)","1","All Rights Reserved","NA"
0,38992175805,"17367318@N00","6fcee9ac26",4755,5,"IMG_3011_DxO",NA,NA,NA,2018-01-25 13:49:52,2018-01-29 15:55:26,2018-01-09 08:22:53,0,0,41,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/4755/38992175805_6fcee9ac26_s.jpg",75,75,"https://live.staticflickr.com/4755/38992175805_6fcee9ac26_t.jpg",75,100,"https://live.staticflickr.com/4755/38992175805_6fcee9ac26_m.jpg",180,240,"https://live.staticflickr.com/4755/38992175805_6fcee9ac26_q.jpg",150,150,"https://live.staticflickr.com/4755/38992175805_6fcee9ac26.jpg",375,500,"https://live.staticflickr.com/4755/38992175805_6fcee9ac26_n.jpg",240,320,"https://live.staticflickr.com/4755/38992175805_6fcee9ac26_z.jpg",480,640,"https://live.staticflickr.com/4755/38992175805_6fcee9ac26_c.jpg",600,800,"https://live.staticflickr.com/4755/38992175805_6fcee9ac26_b.jpg",768,1024,"https://live.staticflickr.com/4755/38992175805_cddce489d5_o.jpg",2448,3264,37.382677,11.603038,"c(37.382677, 11.603038)","1","All Rights Reserved","NA"
0,38992175415,"17367318@N00","b930b6691e",4716,5,"IMG_3013_DxO",NA,NA,NA,2018-01-25 13:49:53,2018-01-29 15:55:26,2018-01-09 08:34:05,0,0,37,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/4716/38992175415_b930b6691e_s.jpg",75,75,"https://live.staticflickr.com/4716/38992175415_b930b6691e_t.jpg",75,100,"https://live.staticflickr.com/4716/38992175415_b930b6691e_m.jpg",180,240,"https://live.staticflickr.com/4716/38992175415_b930b6691e_q.jpg",150,150,"https://live.staticflickr.com/4716/38992175415_b930b6691e.jpg",375,500,"https://live.staticflickr.com/4716/38992175415_b930b6691e_n.jpg",240,320,"https://live.staticflickr.com/4716/38992175415_b930b6691e_z.jpg",480,640,"https://live.staticflickr.com/4716/38992175415_b930b6691e_c.jpg",600,800,"https://live.staticflickr.com/4716/38992175415_b930b6691e_b.jpg",768,1024,"https://live.staticflickr.com/4716/38992175415_c4f1b65832_o.jpg",2448,3264,37.382969,11.623191,"c(37.382969, 11.623191)","1","All Rights Reserved","NA"
0,39181167994,"17367318@N00","dc534c9847",4667,5,"IMG_3026_DxO",NA,NA,NA,2018-01-25 13:49:53,2018-01-29 15:55:24,2018-01-09 11:38:02,0,0,42,0,0,16,0,"xuR79C5QUbhRRhLm",1320989,NA,NA,NA,NA,"https://live.staticflickr.com/4667/39181167994_dc534c9847_s.jpg",75,75,"https://live.staticflickr.com/4667/39181167994_dc534c9847_t.jpg",75,100,"https://live.staticflickr.com/4667/39181167994_dc534c9847_m.jpg",180,240,"https://live.staticflickr.com/4667/39181167994_dc534c9847_q.jpg",150,150,"https://live.staticflickr.com/4667/39181167994_dc534c9847.jpg",375,500,"https://live.staticflickr.com/4667/39181167994_dc534c9847_n.jpg",240,320,"https://live.staticflickr.com/4667/39181167994_dc534c9847_z.jpg",480,640,"https://live.staticflickr.com/4667/39181167994_dc534c9847_c.jpg",600,800,"https://live.staticflickr.com/4667/39181167994_dc534c9847_b.jpg",768,1024,"https://live.staticflickr.com/4667/39181167994_1688947c31_o.jpg",2448,3264,37.346541,11.689836,"c(37.346541, 11.689836)","1","All Rights Reserved","NA"
0,38992175125,"17367318@N00","2c747188d4",4607,5,"IMG_3040_DxO",NA,NA,NA,2018-01-25 13:49:54,2018-01-29 15:55:23,2018-01-09 14:56:22,0,0,34,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/4607/38992175125_2c747188d4_s.jpg",75,75,"https://live.staticflickr.com/4607/38992175125_2c747188d4_t.jpg",75,100,"https://live.staticflickr.com/4607/38992175125_2c747188d4_m.jpg",180,240,"https://live.staticflickr.com/4607/38992175125_2c747188d4_q.jpg",150,150,"https://live.staticflickr.com/4607/38992175125_2c747188d4.jpg",375,500,"https://live.staticflickr.com/4607/38992175125_2c747188d4_n.jpg",240,320,"https://live.staticflickr.com/4607/38992175125_2c747188d4_z.jpg",480,640,"https://live.staticflickr.com/4607/38992175125_2c747188d4_c.jpg",600,800,"https://live.staticflickr.com/4607/38992175125_2c747188d4_b.jpg",768,1024,"https://live.staticflickr.com/4607/38992175125_44c10edd9c_o.jpg",2448,3264,37.384433,11.599008,"c(37.384433, 11.599008)","1","All Rights Reserved","NA"
0,26397375158,"35419517@N04","4800458aab",4621,5,"_DSC5126. Sommerfugl ved Lake Tana, Etiopia",NA,NA,NA,2018-02-14 20:50:28,2020-12-09 18:40:07,2018-01-29 07:18:23,0,0,347,17,1,16,0,"xuR79C5QUbhRRhLm",1320989,NA,NA,NA,NA,"https://live.staticflickr.com/4621/26397375158_4800458aab_s.jpg",75,75,"https://live.staticflickr.com/4621/26397375158_4800458aab_t.jpg",53,100,"https://live.staticflickr.com/4621/26397375158_4800458aab_m.jpg",128,240,"https://live.staticflickr.com/4621/26397375158_4800458aab_q.jpg",150,150,"https://live.staticflickr.com/4621/26397375158_4800458aab.jpg",266,500,"https://live.staticflickr.com/4621/26397375158_4800458aab_n.jpg",171,320,"https://live.staticflickr.com/4621/26397375158_4800458aab_z.jpg",341,640,"https://live.staticflickr.com/4621/26397375158_4800458aab_c.jpg",426,800,"https://live.staticflickr.com/4621/26397375158_4800458aab_b.jpg",546,1024,"https://live.staticflickr.com/4621/26397375158_b410ba83a3_o.jpg",1279,2400,37.3527,11.689826,"c(37.3527, 11.689826)","1","All Rights Reserved","NA"
0,39558341914,"35419517@N04","f1c30fe460",4704,5,"_DSC5145.  Prest",NA,NA,NA,2018-02-14 20:38:34,2020-12-09 17:31:39,2018-01-29 09:21:15,0,0,759,12,0,16,0,"xuR79C5QUbhRRhLm",1320989,NA,NA,NA,NA,"https://live.staticflickr.com/4704/39558341914_f1c30fe460_s.jpg",75,75,"https://live.staticflickr.com/4704/39558341914_f1c30fe460_t.jpg",74,100,"https://live.staticflickr.com/4704/39558341914_f1c30fe460_m.jpg",177,240,"https://live.staticflickr.com/4704/39558341914_f1c30fe460_q.jpg",150,150,"https://live.staticflickr.com/4704/39558341914_f1c30fe460.jpg",368,500,"https://live.staticflickr.com/4704/39558341914_f1c30fe460_n.jpg",236,320,"https://live.staticflickr.com/4704/39558341914_f1c30fe460_z.jpg",471,640,"https://live.staticflickr.com/4704/39558341914_f1c30fe460_c.jpg",589,800,"https://live.staticflickr.com/4704/39558341914_f1c30fe460_b.jpg",754,1024,"https://live.staticflickr.com/4704/39558341914_bd9f8999e2_o.jpg",1768,2400,37.352453,11.689689,"c(37.352453, 11.689689)","1","All Rights Reserved","NA"
0,39558343524,"35419517@N04","8342f4230b",4753,5,"_DSC5149. Gutt i en salgsbod langs kirkestien til kirken ved Lake Tana.",NA,NA,NA,2018-02-14 20:38:34,2018-12-18 20:26:57,2018-01-29 09:36:04,0,0,271,4,0,16,0,"xuR79C5QUbhRRhLm",1320989,NA,NA,NA,NA,"https://live.staticflickr.com/4753/39558343524_8342f4230b_s.jpg",75,75,"https://live.staticflickr.com/4753/39558343524_8342f4230b_t.jpg",64,100,"https://live.staticflickr.com/4753/39558343524_8342f4230b_m.jpg",154,240,"https://live.staticflickr.com/4753/39558343524_8342f4230b_q.jpg",150,150,"https://live.staticflickr.com/4753/39558343524_8342f4230b.jpg",321,500,"https://live.staticflickr.com/4753/39558343524_8342f4230b_n.jpg",206,320,"https://live.staticflickr.com/4753/39558343524_8342f4230b_z.jpg",411,640,"https://live.staticflickr.com/4753/39558343524_8342f4230b_c.jpg",514,800,"https://live.staticflickr.com/4753/39558343524_8342f4230b_b.jpg",658,1024,"https://live.staticflickr.com/4753/39558343524_c11a45b95d_o.jpg",1543,2400,37.345308,11.69054,"c(37.345308, 11.69054)","1","All Rights Reserved","NA"
