"license","id","owner","secret","server","farm","title","ispublic","isfriend","isfamily","dateupload","lastupdate","datetaken","datetakengranularity","datetakenunknown","count_views","count_faves","count_comments","accuracy","context","place_id","woeid","geo_is_public","geo_is_contact","geo_is_friend","geo_is_family","url_sq","height_sq","width_sq","url_t","height_t","width_t","url_s","height_s","width_s","url_q","height_q","width_q","url_m","height_m","width_m","url_n","height_n","width_n","url_z","height_z","width_z","url_c","height_c","width_c","url_l","height_l","width_l","url_o","height_o","width_o","longitude","latitude","geometry","within","license_name","license_url"
0,16674542791,"99180369@N05","77062c967d",8590,9,"IMG_8572",NA,NA,NA,2015-02-28 23:00:06,2015-03-24 18:07:34,2015-01-19 13:18:23,0,0,97,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/8590/16674542791_77062c967d_s.jpg",75,75,"https://live.staticflickr.com/8590/16674542791_77062c967d_t.jpg",75,100,"https://live.staticflickr.com/8590/16674542791_77062c967d_m.jpg",180,240,"https://live.staticflickr.com/8590/16674542791_77062c967d_q.jpg",150,150,"https://live.staticflickr.com/8590/16674542791_77062c967d.jpg",376,500,"https://live.staticflickr.com/8590/16674542791_77062c967d_n.jpg",241,320,"https://live.staticflickr.com/8590/16674542791_77062c967d_z.jpg",481,640,"https://live.staticflickr.com/8590/16674542791_77062c967d_c.jpg",601,800,"https://live.staticflickr.com/8590/16674542791_77062c967d_b.jpg",770,1024,"https://live.staticflickr.com/8590/16674542791_e74136df61_o.jpg",2794,3717,37.381807,11.602078,"c(37.381807, 11.602078)","1","All Rights Reserved","NA"
0,16489765469,"99180369@N05","4e99fd84e9",8657,9,"IMG_8569",NA,NA,NA,2015-02-28 23:00:07,2015-03-24 18:07:35,2015-01-19 13:17:25,0,0,117,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/8657/16489765469_4e99fd84e9_s.jpg",75,75,"https://live.staticflickr.com/8657/16489765469_4e99fd84e9_t.jpg",75,100,"https://live.staticflickr.com/8657/16489765469_4e99fd84e9_m.jpg",180,240,"https://live.staticflickr.com/8657/16489765469_4e99fd84e9_q.jpg",150,150,"https://live.staticflickr.com/8657/16489765469_4e99fd84e9.jpg",375,500,"https://live.staticflickr.com/8657/16489765469_4e99fd84e9_n.jpg",240,320,"https://live.staticflickr.com/8657/16489765469_4e99fd84e9_z.jpg",480,640,"https://live.staticflickr.com/8657/16489765469_4e99fd84e9_c.jpg",599,800,"https://live.staticflickr.com/8657/16489765469_4e99fd84e9_b.jpg",767,1024,"https://live.staticflickr.com/8657/16489765469_ecdb7e80f9_o.jpg",2075,2769,37.381807,11.602078,"c(37.381807, 11.602078)","1","All Rights Reserved","NA"
0,16488511330,"99180369@N05","f4d1f0d187",8661,9,"IMG_8573",NA,NA,NA,2015-02-28 23:00:06,2015-03-24 18:07:34,2015-01-19 13:19:09,0,0,91,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/8661/16488511330_f4d1f0d187_s.jpg",75,75,"https://live.staticflickr.com/8661/16488511330_f4d1f0d187_t.jpg",100,75,"https://live.staticflickr.com/8661/16488511330_f4d1f0d187_m.jpg",240,180,"https://live.staticflickr.com/8661/16488511330_f4d1f0d187_q.jpg",150,150,"https://live.staticflickr.com/8661/16488511330_f4d1f0d187.jpg",500,375,"https://live.staticflickr.com/8661/16488511330_f4d1f0d187_n.jpg",320,240,"https://live.staticflickr.com/8661/16488511330_f4d1f0d187_z.jpg",640,480,"https://live.staticflickr.com/8661/16488511330_f4d1f0d187_c.jpg",800,600,"https://live.staticflickr.com/8661/16488511330_f4d1f0d187_b.jpg",1024,768,"https://live.staticflickr.com/8661/16488511330_7234bae10b_o.jpg",3000,4000,37.381807,11.602078,"c(37.381807, 11.602078)","1","All Rights Reserved","NA"
0,16674567981,"99180369@N05","5986ce7319",8587,9,"IMG_8577",NA,NA,NA,2015-02-28 23:00:04,2015-03-24 18:07:34,2015-01-19 13:27:49,0,0,103,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/8587/16674567981_5986ce7319_s.jpg",75,75,"https://live.staticflickr.com/8587/16674567981_5986ce7319_t.jpg",100,75,"https://live.staticflickr.com/8587/16674567981_5986ce7319_m.jpg",240,180,"https://live.staticflickr.com/8587/16674567981_5986ce7319_q.jpg",150,150,"https://live.staticflickr.com/8587/16674567981_5986ce7319.jpg",500,375,"https://live.staticflickr.com/8587/16674567981_5986ce7319_n.jpg",320,240,"https://live.staticflickr.com/8587/16674567981_5986ce7319_z.jpg",640,480,"https://live.staticflickr.com/8587/16674567981_5986ce7319_c.jpg",800,601,"https://live.staticflickr.com/8587/16674567981_5986ce7319_b.jpg",1024,769,"https://live.staticflickr.com/8587/16674567981_da87128faf_o.jpg",3599,2702,37.381807,11.602078,"c(37.381807, 11.602078)","1","All Rights Reserved","NA"
0,16053610234,"99180369@N05","ddb7521d9a",8588,9,"IMG_8576",NA,NA,NA,2015-02-28 23:00:05,2015-03-24 18:07:34,2015-01-19 13:21:23,0,0,95,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/8588/16053610234_ddb7521d9a_s.jpg",75,75,"https://live.staticflickr.com/8588/16053610234_ddb7521d9a_t.jpg",75,100,"https://live.staticflickr.com/8588/16053610234_ddb7521d9a_m.jpg",180,240,"https://live.staticflickr.com/8588/16053610234_ddb7521d9a_q.jpg",150,150,"https://live.staticflickr.com/8588/16053610234_ddb7521d9a.jpg",375,500,"https://live.staticflickr.com/8588/16053610234_ddb7521d9a_n.jpg",240,320,"https://live.staticflickr.com/8588/16053610234_ddb7521d9a_z.jpg",480,640,"https://live.staticflickr.com/8588/16053610234_ddb7521d9a_c.jpg",600,800,"https://live.staticflickr.com/8588/16053610234_ddb7521d9a_b.jpg",768,1024,"https://live.staticflickr.com/8588/16053610234_d3c47ef8e1_o.jpg",3000,4000,37.381807,11.602078,"c(37.381807, 11.602078)","1","All Rights Reserved","NA"
0,16055997923,"99180369@N05","34ce3e5e60",8615,9,"IMG_8578",NA,NA,NA,2015-02-28 23:00:04,2015-03-24 18:07:34,2015-01-19 13:28:06,0,0,100,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/8615/16055997923_34ce3e5e60_s.jpg",75,75,"https://live.staticflickr.com/8615/16055997923_34ce3e5e60_t.jpg",75,100,"https://live.staticflickr.com/8615/16055997923_34ce3e5e60_m.jpg",180,240,"https://live.staticflickr.com/8615/16055997923_34ce3e5e60_q.jpg",150,150,"https://live.staticflickr.com/8615/16055997923_34ce3e5e60.jpg",375,500,"https://live.staticflickr.com/8615/16055997923_34ce3e5e60_n.jpg",240,320,"https://live.staticflickr.com/8615/16055997923_34ce3e5e60_z.jpg",480,640,"https://live.staticflickr.com/8615/16055997923_34ce3e5e60_c.jpg",600,800,"https://live.staticflickr.com/8615/16055997923_34ce3e5e60_b.jpg",768,1024,"https://live.staticflickr.com/8615/16055997923_681a820d36_o.jpg",3000,4000,37.381807,11.602078,"c(37.381807, 11.602078)","1","All Rights Reserved","NA"
0,16675932705,"99180369@N05","323c2b177d",8637,9,"IMG_8575",NA,NA,NA,2015-02-28 23:00:05,2015-03-24 18:07:34,2015-01-19 13:20:24,0,0,95,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/8637/16675932705_323c2b177d_s.jpg",75,75,"https://live.staticflickr.com/8637/16675932705_323c2b177d_t.jpg",100,75,"https://live.staticflickr.com/8637/16675932705_323c2b177d_m.jpg",240,180,"https://live.staticflickr.com/8637/16675932705_323c2b177d_q.jpg",150,150,"https://live.staticflickr.com/8637/16675932705_323c2b177d.jpg",500,375,"https://live.staticflickr.com/8637/16675932705_323c2b177d_n.jpg",320,240,"https://live.staticflickr.com/8637/16675932705_323c2b177d_z.jpg",640,480,"https://live.staticflickr.com/8637/16675932705_323c2b177d_c.jpg",800,600,"https://live.staticflickr.com/8637/16675932705_323c2b177d_b.jpg",1024,768,"https://live.staticflickr.com/8637/16675932705_1dc51fc6ce_o.jpg",3000,4000,37.381807,11.602078,"c(37.381807, 11.602078)","1","All Rights Reserved","NA"
0,16674582011,"99180369@N05","ae6f3aee34",8582,9,"IMG_8580",NA,NA,NA,2015-02-28 23:00:02,2015-03-24 18:07:33,2015-01-19 13:29:23,0,0,96,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/8582/16674582011_ae6f3aee34_s.jpg",75,75,"https://live.staticflickr.com/8582/16674582011_ae6f3aee34_t.jpg",100,75,"https://live.staticflickr.com/8582/16674582011_ae6f3aee34_m.jpg",240,180,"https://live.staticflickr.com/8582/16674582011_ae6f3aee34_q.jpg",150,150,"https://live.staticflickr.com/8582/16674582011_ae6f3aee34.jpg",500,375,"https://live.staticflickr.com/8582/16674582011_ae6f3aee34_n.jpg",320,240,"https://live.staticflickr.com/8582/16674582011_ae6f3aee34_z.jpg",640,480,"https://live.staticflickr.com/8582/16674582011_ae6f3aee34_c.jpg",800,600,"https://live.staticflickr.com/8582/16674582011_ae6f3aee34_b.jpg",1024,768,"https://live.staticflickr.com/8582/16674582011_9301d05a23_o.jpg",3709,2780,37.381807,11.602078,"c(37.381807, 11.602078)","1","All Rights Reserved","NA"
0,16674941902,"99180369@N05","687d79ed44",8670,9,"IMG_8581",NA,NA,NA,2015-02-28 23:00:01,2015-03-24 18:07:33,2015-01-19 13:29:45,0,0,110,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/8670/16674941902_687d79ed44_s.jpg",75,75,"https://live.staticflickr.com/8670/16674941902_687d79ed44_t.jpg",75,100,"https://live.staticflickr.com/8670/16674941902_687d79ed44_m.jpg",180,240,"https://live.staticflickr.com/8670/16674941902_687d79ed44_q.jpg",150,150,"https://live.staticflickr.com/8670/16674941902_687d79ed44.jpg",375,500,"https://live.staticflickr.com/8670/16674941902_687d79ed44_n.jpg",240,320,"https://live.staticflickr.com/8670/16674941902_687d79ed44_z.jpg",480,640,"https://live.staticflickr.com/8670/16674941902_687d79ed44_c.jpg",600,800,"https://live.staticflickr.com/8670/16674941902_687d79ed44_b.jpg",768,1024,"https://live.staticflickr.com/8670/16674941902_937d2511cd_o.jpg",3000,4000,37.381807,11.602078,"c(37.381807, 11.602078)","1","All Rights Reserved","NA"
0,16489807409,"99180369@N05","da4f108ab9",8654,9,"IMG_8579",NA,NA,NA,2015-02-28 23:00:03,2015-03-24 18:07:34,2015-01-19 13:29:07,0,0,101,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/8654/16489807409_da4f108ab9_s.jpg",75,75,"https://live.staticflickr.com/8654/16489807409_da4f108ab9_t.jpg",75,100,"https://live.staticflickr.com/8654/16489807409_da4f108ab9_m.jpg",180,240,"https://live.staticflickr.com/8654/16489807409_da4f108ab9_q.jpg",150,150,"https://live.staticflickr.com/8654/16489807409_da4f108ab9.jpg",375,500,"https://live.staticflickr.com/8654/16489807409_da4f108ab9_n.jpg",240,320,"https://live.staticflickr.com/8654/16489807409_da4f108ab9_z.jpg",480,640,"https://live.staticflickr.com/8654/16489807409_da4f108ab9_c.jpg",600,800,"https://live.staticflickr.com/8654/16489807409_da4f108ab9_b.jpg",768,1024,"https://live.staticflickr.com/8654/16489807409_a077aae6d2_o.jpg",3000,4000,37.381807,11.602078,"c(37.381807, 11.602078)","1","All Rights Reserved","NA"
